,name,nationality,team,positions,age,overall,potential,contract,contract_start,contract_end,contract_length,height,weight,foot,value,wage,attacking,skill,movement,power,mentality,defending,goalkeeping,total
949,A. Lookman,United Kingdom of Great Britain and Northern Ireland,Leicester City,LM RM,23,77,82,"Jun 30, 2022 On Loan",0,0,0,174,71,Right,16000000.0,54000.0,327,336,414,341,302,74,54,1848
950,Matheus Reis,Brazil,Sporting CP,CB LB LWB,26,77,80,2021 ~ 2026,2021,2026,5,184,80,Left,12000000.0,13000.0,309,322,354,352,328,235,51,1951
951,Sidney Pessinho,Brazil,Internacional,CDM CM,29,77,77,2021 ~ 2024,2021,2024,3,187,85,Right,9000000.0,27000.0,309,378,319,374,344,232,48,2004
952,Muo Cadete,Brazil,Palmeiras,LM,21,77,77,2021 ~ 2024,2021,2024,3,178,78,Left,12500000.0,28000.0,294,333,382,316,272,110,54,1761
953,Nuno Padrenda,Brazil,Clube Atlético Mineiro,ST CAM,25,77,77,2021 ~ 2024,2021,2024,3,180,75,Right,12000000.0,37000.0,351,389,386,371,319,144,45,2005
954,Vieirundinho,Brazil,Santos,CB,33,77,77,2021 ~ 2024,2021,2024,3,189,84,Right,5000000.0,26000.0,245,250,286,327,263,241,55,1667
955,Victildinho,Brazil,Palmeiras,RB RM,25,77,77,2021 ~ 2024,2021,2024,3,178,75,Right,10500000.0,33000.0,320,342,372,296,332,227,58,1947
956,Rodrigo Vuarte,Brazil,Clube Atlético Mineiro,CDM,29,77,77,2021 ~ 2024,2021,2024,3,179,77,Left,9000000.0,34000.0,316,325,325,350,320,234,50,1920
957,Jadsinho Mei,Brazil,Flamengo,CDM CM,25,77,77,2021 ~ 2024,2021,2024,3,176,72,Right,10500000.0,33000.0,268,266,304,370,331,211,34,1784
958,Andeson Trigo,Brazil,Fluminense,LB LM CAM,33,77,77,2021 ~ 2024,2021,2024,3,175,68,Left,5500000.0,23000.0,329,382,414,336,344,227,55,2087
959,Wagner Laranjo,Brazil,Palmeiras,CDM CM,37,77,77,2021 ~ 2024,2021,2024,3,177,77,Right,2100000.0,25000.0,334,367,340,376,355,219,56,2047
960,Claudio Coíntra,Brazil,Palmeiras,CAM CF,25,77,77,2021 ~ 2024,2021,2024,3,174,71,Left,11500000.0,36000.0,344,386,409,343,304,66,59,1911
961,Enzo Chissano,Brazil,Palmeiras,LB RB CB,29,77,77,2021 ~ 2024,2021,2024,3,165,62,Left,9500000.0,36000.0,350,362,363,361,318,222,50,2026
962,Alexo Baia,Brazil,Clube Atlético Mineiro,RB RM,33,77,77,2021 ~ 2024,2021,2024,3,175,71,Right,5500000.0,32000.0,305,325,379,291,329,230,61,1920
963,Lucas Mantela,Brazil,Palmeiras,GK,21,77,77,2021 ~ 2024,2021,2024,3,183,77,Right,9500000.0,18000.0,90,95,236,274,134,51,379,1259
964,S. Serdar,Germany,Hertha BSC,CM CDM,24,77,82,2021 ~ 2026,2021,2026,5,184,75,Right,16000000.0,37000.0,342,370,360,389,359,219,51,2090
965,A. Lunev,Russia,Bayer 04 Leverkusen,GK,29,77,77,2021 ~ 2023,2021,2023,2,190,80,Right,7000000.0,37000.0,85,99,274,218,135,50,372,1233
966,G. Dzhikiya,Russia,Spartak Moskva,CB,27,77,78,2017 ~ 2024,2017,2024,7,188,86,Left,10500000.0,48000.0,263,333,354,365,331,245,63,1954
967,Robert Sanchéz,Spain,Brighton & Hove Albion,GK,23,77,83,2015 ~ 2025,2015,2025,10,197,85,Right,13500000.0,33000.0,102,128,226,245,124,46,381,1252
968,Pedraza,Spain,Villarreal CF,LB LM,25,77,81,2014 ~ 2025,2014,2025,11,184,73,Left,13500000.0,27000.0,348,350,377,373,349,222,51,2070
969,R. Holding,United Kingdom of Great Britain and Northern Ireland,Arsenal,CB,25,77,79,2016 ~ 2024,2016,2024,8,189,75,Right,11500000.0,62000.0,254,262,306,297,288,236,62,1705
970,K. Walker,United Kingdom of Great Britain and Northern Ireland,Southampton,RB LB,24,77,82,2020 ~ 2025,2020,2025,5,174,64,Right,15000000.0,41000.0,285,300,381,306,303,224,47,1846
971,B. Romero,Argentina,River Plate,ST RW LW,30,77,77,2021 ~ 2024,2021,2024,3,176,73,Right,10500000.0,20000.0,351,331,418,370,337,149,53,2009
972,Melero,Spain,Levante Unión Deportiva,CM ST LM,27,77,77,2019 ~ 2023,2019,2023,4,183,77,Right,11000000.0,28000.0,369,361,325,380,377,214,57,2083
973,A. Rossi,Argentina,Boca Juniors,GK,25,77,82,2017 ~ 2023,2017,2023,6,195,95,Right,12500000.0,13000.0,102,130,229,245,140,65,379,1290
974,F. Guilbert,France,RC Strasbourg Alsace,RWB RB,26,77,78,"Jun 30, 2022 On Loan",0,0,0,178,78,Right,11500000.0,55000.0,293,311,356,354,328,224,58,1924
975,Gelson Martins,Portugal,AS Monaco,RM LM,26,77,78,2019 ~ 2024,2019,2024,5,173,74,Right,12500000.0,47000.0,334,359,433,348,318,153,43,1988
976,Rubén Duarte,Spain,Deportivo Alavés,LB,25,77,80,2017 ~ 2023,2017,2023,6,180,75,Left,13000000.0,22000.0,290,324,334,292,275,237,52,1804
977,Vitor Hugo,Brazil,Trabzonspor,CB,30,77,77,2020 ~ 2024,2020,2024,4,187,80,Left,8500000.0,26000.0,228,195,293,314,262,236,57,1585
978,Andrei Girotto,Brazil,FC Nantes,CB CDM,29,77,77,2017 ~ 2024,2017,2024,7,186,79,Right,9000000.0,26000.0,331,344,313,381,329,236,45,1979
979,F. Dimarco,Italy,Inter,LWB LB LM,23,77,82,2018 ~ 2023,2018,2023,5,175,75,Left,15000000.0,62000.0,343,385,375,319,344,214,43,2023
980,T. Kehrer,Germany,Paris Saint-Germain,CB RB,24,77,81,2018 ~ 2023,2018,2023,5,186,76,Right,13500000.0,52000.0,282,290,357,346,307,232,54,1868
981,O. Boscagli,France,PSV,CB LB CDM,23,77,82,2019 ~ 2025,2019,2025,6,181,68,Left,14500000.0,15000.0,287,336,365,370,323,231,49,1961
982,B. Godfrey,United Kingdom of Great Britain and Northern Ireland,Everton,CB LB RB,23,77,85,2020 ~ 2025,2020,2025,5,183,79,Right,22000000.0,56000.0,275,267,372,349,301,231,50,1845
983,S. Mavididi,United Kingdom of Great Britain and Northern Ireland,Montpellier Hérault SC,LM ST,23,77,81,2020 ~ 2024,2020,2024,4,182,71,Right,15000000.0,24000.0,359,340,400,376,275,68,46,1864
984,M. Holgate,United Kingdom of Great Britain and Northern Ireland,Everton,CB RB,24,77,80,2015 ~ 2025,2015,2025,10,184,75,Right,13000000.0,56000.0,298,301,353,326,315,232,58,1883
985,G. Castrovilli,Italy,Fiorentina,CM,24,77,81,2014 ~ 2024,2014,2024,10,179,72,Right,15000000.0,43000.0,324,345,388,329,335,204,63,1988
986,O. Pineda,Mexico,RC Celta de Vigo,LM CM RM,25,77,80,2022 ~ 2027,2022,2027,5,169,63,Right,14000000.0,23000.0,328,352,410,351,357,193,56,2047
987,Z. Çelik,Turkey,LOSC Lille,RB,24,77,80,2018 ~ 2023,2018,2023,5,180,78,Right,13500000.0,27000.0,324,330,364,356,339,223,53,1989
988,J. Boga,Côte d'Ivoire,Atalanta,LW LM,24,77,80,"Jun 30, 2022 On Loan",0,0,0,172,68,Right,14500000.0,31000.0,342,374,408,347,292,100,62,1925
989,C. Pavón,Argentina,Boca Juniors,LW RW LM,25,77,78,2014 ~ 2022,2014,2022,8,174,76,Right,12500000.0,19000.0,332,373,422,390,327,138,50,2032
990,J. Andersen,Denmark,Crystal Palace,CB,25,77,80,2021 ~ 2026,2021,2026,5,192,90,Right,12500000.0,45000.0,263,285,296,342,295,231,58,1770
991,H. Martín,Mexico,Club América,ST,28,77,77,2018 ~ 2024,2018,2024,6,177,83,Right,11000000.0,51000.0,351,320,391,394,326,88,51,1921
992,Dyego Sousa,Portugal,Unión Deportiva Almería,ST,31,77,77,2021 ~ 2022,2021,2022,1,190,82,Right,9000000.0,14000.0,370,321,307,391,320,72,50,1831
993,R. Aguilar,France,AS Monaco,RB RM,28,77,77,2019 ~ 2024,2019,2024,5,172,71,Right,9500000.0,45000.0,313,315,382,354,333,223,62,1982
994,Dani Ceballos,Spain,Real Madrid CF,CM CDM,24,77,80,2017 ~ 2023,2017,2023,6,179,68,Right,14500000.0,100000.0,322,387,351,335,349,205,63,2012
995,H. Winks,United Kingdom of Great Britain and Northern Ireland,Tottenham Hotspur,CM CDM,25,77,80,2014 ~ 2024,2014,2024,10,176,65,Right,14000000.0,72000.0,305,377,362,319,354,217,56,1990
996,B. Embolo,Switzerland,Borussia Mönchengladbach,ST CAM,24,77,82,2019 ~ 2023,2019,2023,4,187,88,Right,16000000.0,27000.0,359,347,377,392,342,141,45,2003
997,N. Elvedi,Switzerland,Borussia Mönchengladbach,CB,24,77,81,2015 ~ 2024,2015,2024,9,189,81,Right,13500000.0,23000.0,277,270,338,330,301,232,55,1803
998,F. Honorat,France,Stade Brestois 29,LM RM,24,77,79,2020 ~ 2025,2020,2025,5,180,70,Right,13500000.0,18000.0,356,349,388,373,305,135,61,1967
999,A. Živković,Serbia,PAOK,RW LW RM,24,77,79,2020 ~ 2024,2020,2024,4,169,68,Left,13500000.0,1000.0,336,382,392,336,340,163,40,1989
1000,D. Gray,United Kingdom of Great Britain and Northern Ireland,Everton,LM LW CAM,25,77,80,2021 ~ 2024,2021,2024,3,183,75,Right,14000000.0,68000.0,305,358,409,337,273,118,51,1851
1001,J. Bednarek,Poland,Southampton,CB,25,77,82,2017 ~ 2025,2017,2025,8,189,77,Right,14000000.0,45000.0,228,213,293,286,270,231,56,1577
1002,Á. Romero,Paraguay,Cruz Azul,ST LW LM,28,77,77,2022 ~ 2022,2022,2022,0,176,73,Right,11000000.0,66000.0,370,368,403,367,341,136,68,2053
1003,Zaldúa,Spain,Real Sociedad,RB,29,77,77,2014 ~ 2023,2014,2023,9,174,69,Right,9500000.0,30000.0,281,294,344,319,289,225,58,1810
1004,Embarba,Spain,RCD Espanyol de Barcelona,RM LM,29,77,77,2020 ~ 2024,2020,2024,4,173,68,Right,10500000.0,21000.0,343,372,390,369,347,135,50,2006
1005,T. Bakayoko,France,AC Milan,CDM CM,26,77,77,"Jun 30, 2023 On Loan",0,0,0,189,85,Right,10000000.0,80000.0,273,305,319,362,338,231,61,1889
1006,M. Targett,United Kingdom of Great Britain and Northern Ireland,Newcastle United,LB,25,77,80,"Jun 30, 2022 On Loan",0,0,0,183,70,Left,13000000.0,52000.0,295,356,353,308,315,221,58,1906
1007,J. Palomino,Argentina,Atalanta,CB,31,77,77,2017 ~ 2023,2017,2023,6,188,87,Left,7000000.0,41000.0,261,271,262,274,267,236,53,1624
1008,A. Blake,Jamaica,Philadelphia Union,GK,30,77,77,2014 ~ 2024,2014,2024,10,188,79,Right,7000000.0,7000.0,92,108,253,246,84,41,381,1205
1009,G. Simeone,Argentina,Hellas Verona,ST,25,77,80,"Jun 30, 2022 On Loan",0,0,0,181,81,Right,14000000.0,34000.0,342,336,379,386,312,118,61,1934
1011,L. Dubois,France,Olympique Lyonnais,RB,26,77,78,2018 ~ 2024,2018,2024,6,178,65,Right,11500000.0,51000.0,340,353,354,346,335,228,54,2010
1012,A. Sørloth,Norway,Real Sociedad,ST,25,77,80,"Jun 30, 2022 On Loan",0,0,0,194,90,Left,14000000.0,65000.0,357,338,345,389,327,83,58,1897
1013,S. Widmer,Switzerland,1. FSV Mainz 05,RWB RB,28,77,77,2021 ~ 2024,2021,2024,3,183,80,Right,9500000.0,25000.0,321,346,376,386,331,211,44,2015
1014,M. Cornet,Côte d'Ivoire,Burnley,LM LB CF,24,77,80,2021 ~ 2026,2021,2026,5,179,69,Left,14500000.0,32000.0,364,357,404,396,349,200,58,2128
1015,Kenedy,Brazil,Chelsea,LM RM,25,77,78,2015 ~ 2023,2015,2023,8,182,77,Left,12500000.0,83000.0,343,372,382,354,329,173,64,2017
1016,Ayoze Pérez,Spain,Leicester City,RW,27,77,77,2019 ~ 2023,2019,2023,4,178,72,Right,11000000.0,89000.0,372,363,397,350,353,164,57,2056
1017,L. Alario,Argentina,Bayer 04 Leverkusen,ST,28,77,77,2017 ~ 2024,2017,2024,7,184,78,Right,11000000.0,53000.0,364,290,342,375,318,69,60,1818
1018,M. Casco,Argentina,River Plate,LB RB CM,33,77,77,2015 ~ 2023,2015,2023,8,170,69,Right,5500000.0,17000.0,343,371,408,386,382,209,54,2153
1019,Helton Leite,Brazil,SL Benfica,GK,30,77,77,2020 ~ 2025,2020,2025,5,196,92,Right,7000000.0,11000.0,69,71,267,244,75,31,374,1131
1020,F. Tait,France,Stade Rennais FC,CM LM,28,77,77,2019 ~ 2023,2019,2023,4,175,70,Right,10500000.0,46000.0,337,378,376,345,351,203,58,2048
1021,Santi Mina,Spain,RC Celta de Vigo,ST RM,25,77,80,2019 ~ 2024,2019,2024,5,181,77,Right,14000000.0,25000.0,373,344,372,378,340,134,54,1995
1022,Diego Llorente,Spain,Leeds United,CB,27,77,79,2020 ~ 2024,2020,2024,4,186,76,Right,11000000.0,65000.0,278,270,341,316,318,224,47,1794
1023,L. Dendoncker,Belgium,Wolverhampton Wanderers,CM CB,26,77,79,2019 ~ 2023,2019,2023,4,189,88,Right,13000000.0,71000.0,367,371,302,401,358,231,56,2086
1024,R. Bazoer,Netherlands,Vitesse,CB,24,77,81,2019 ~ 2022,2019,2022,3,184,74,Right,13500000.0,15000.0,355,379,369,380,352,219,53,2107
1025,R. Gagliardini,Italy,Inter,CDM CM,27,77,77,2017 ~ 2023,2017,2023,6,188,77,Right,10000000.0,73000.0,336,331,301,361,336,233,42,1940
1026,N. Maupay,France,Brighton & Hove Albion,ST,24,77,82,2019 ~ 2023,2019,2023,4,173,69,Right,16000000.0,52000.0,363,323,390,354,337,118,52,1937
1027,Bruma,Portugal,PSV,LM RM,26,77,77,2019 ~ 2024,2019,2024,5,173,70,Right,11500000.0,19000.0,326,373,427,347,303,81,52,1909
1028,D. Rugani,Italy,Juventus,CB,26,77,79,2015 ~ 2023,2015,2023,8,190,84,Right,11500000.0,60000.0,256,260,310,317,268,234,30,1675
1029,V. Lazaro,Austria,SL Benfica,RM RWB RB,25,77,80,"Jun 30, 2022 On Loan",0,0,0,180,75,Right,14000000.0,76000.0,343,374,388,329,352,211,48,2045
1030,C. McGregor,Scotland,Celtic,CM CDM,28,77,77,2009 ~ 2026,2009,2026,17,178,74,Left,10500000.0,54000.0,332,368,401,380,367,214,54,2116
1031,Paulo Oliveira,Portugal,SC Braga,CB,29,77,77,2021 ~ 2025,2021,2025,4,187,81,Right,9000000.0,15000.0,243,253,283,334,261,236,52,1662
1032,E. Mena,Chile,Racing Club,LB LWB,32,77,77,2018 ~ 2022,2018,2022,4,173,74,Left,7500000.0,19000.0,296,329,380,348,343,216,57,1969
1033,A. Thomasson,France,RC Strasbourg Alsace,CM,27,77,77,2018 ~ 2024,2018,2024,6,177,72,Right,11000000.0,25000.0,348,376,379,366,362,188,60,2079
1034,Óliver Torres,Spain,Sevilla FC,CM LW,26,77,78,2019 ~ 2024,2019,2024,5,175,70,Right,12500000.0,27000.0,335,388,357,305,347,186,42,1960
1035,A. Bakasetas,Greece,Trabzonspor,CAM CM,28,77,77,2019 ~ 2024,2019,2024,5,181,78,Left,10500000.0,29000.0,366,387,355,391,343,130,59,2031
1036,P. Mantalos,Greece,AEK Athens,CAM LM,29,77,77,2014 ~ 2024,2014,2024,10,176,73,Right,10500000.0,2000.0,343,382,374,336,342,156,51,1984
1037,J. Veltman,Netherlands,Brighton & Hove Albion,RWB CB RB,29,77,77,2020 ~ 2023,2020,2023,3,184,75,Right,9500000.0,52000.0,307,286,339,329,313,236,43,1853
1038,B. Traoré,Burkina Faso,Aston Villa,RM RW,25,77,77,2020 ~ 2024,2020,2024,4,181,73,Left,11500000.0,57000.0,360,388,372,350,330,117,50,1967
1039,R. Fraser,Scotland,Newcastle United,RM LM,27,77,77,2020 ~ 2025,2020,2025,5,163,70,Right,11000000.0,40000.0,308,369,430,324,334,150,61,1976
1040,N. López,Uruguay,Tigres U.A.N.L.,ST RM,27,77,77,2020 ~ 2023,2020,2023,3,178,75,Left,11500000.0,49000.0,376,361,391,367,284,62,44,1885
1041,C. Bacca,Colombia,Granada CF,ST,34,77,77,2021 ~ 2022,2021,2022,1,181,77,Right,5000000.0,26000.0,358,335,348,337,323,70,45,1816
1042,J. Ferri,France,Montpellier Hérault SC,CDM CM,29,77,77,2019 ~ 2026,2019,2026,7,173,73,Right,9000000.0,26000.0,318,353,356,362,364,210,59,2022
1043,Alberto Moreno,Spain,Villarreal CF,LB LM LWB,28,77,77,2019 ~ 2024,2019,2024,5,171,65,Left,9500000.0,30000.0,322,344,402,377,346,217,54,2062
1044,Mário Rui,Portugal,Napoli,LB,30,77,77,2018 ~ 2025,2018,2025,7,170,67,Left,9000000.0,51000.0,291,363,408,363,329,217,49,2020
1045,M. Batshuayi,Belgium,Beşiktaş JK,ST,27,77,77,"Jun 30, 2022 On Loan",0,0,0,185,78,Right,11500000.0,95000.0,355,311,373,387,295,85,57,1863
1046,Luís Neto,Portugal,Sporting CP,CB,33,77,77,2019 ~ 2023,2019,2023,4,185,72,Right,5000000.0,13000.0,261,267,326,301,302,237,61,1755
1047,Zé Luís,Cape Verde Islands,Al Taawoun,ST,30,77,77,2022 ~ 2022,2022,2022,0,184,80,Left,10500000.0,30000.0,343,317,360,389,327,79,59,1874
1048,T. Vilhena,Netherlands,RCD Espanyol de Barcelona,LM CM,26,77,77,2019 ~ 2024,2019,2024,5,175,70,Left,11500000.0,20000.0,363,379,381,392,350,211,60,2136
1049,D. Foulquier,France,Valencia CF,RB RM RWB,28,77,77,2021 ~ 2025,2021,2025,4,183,78,Right,9500000.0,32000.0,323,317,359,363,331,222,48,1963
1050,Fernando,Brazil,Antalyaspor,CDM CM,29,77,77,2022 ~ 2023,2022,2023,1,173,66,Right,9000000.0,19000.0,313,393,369,382,338,226,52,2073
1051,Igor Coronado,Brazil,Al Ittihad,CAM CF,28,77,77,2021 ~ 2023,2021,2023,2,170,65,Right,10500000.0,41000.0,344,393,412,364,330,141,48,2032
1052,J. Roussillon,France,VfL Wolfsburg,LB LM,28,77,77,2018 ~ 2023,2018,2023,5,175,80,Left,9500000.0,52000.0,329,359,408,358,338,216,52,2060
1053,S. Armstrong,Scotland,Southampton,RM CM,29,77,77,2018 ~ 2024,2018,2024,6,183,75,Right,10500000.0,54000.0,353,379,364,383,353,190,59,2081
1054,A. Gomis,Senegal,Stade Rennais FC,GK,27,77,79,2020 ~ 2025,2020,2025,5,196,80,Right,9500000.0,32000.0,87,104,271,244,137,42,376,1261
1055,M. Rojo,Argentina,Boca Juniors,CB,31,77,77,2021 ~ 2022,2021,2022,1,186,82,Left,7000000.0,17000.0,314,330,339,358,347,228,52,1968
1056,M. Doherty,Republic of Ireland,Tottenham Hotspur,RWB RB,29,77,77,2020 ~ 2024,2020,2024,4,182,87,Right,9500000.0,72000.0,336,327,347,370,340,223,55,1998
1057,C. Biraghi,Italy,Fiorentina,LB LWB LM,28,77,77,2018 ~ 2024,2018,2024,6,185,78,Left,9500000.0,47000.0,321,367,368,363,352,224,49,2044
1058,J. Murillo,Colombia,RC Celta de Vigo,CB,29,77,78,"Jun 30, 2022 On Loan",0,0,0,184,78,Right,9500000.0,20000.0,289,251,364,316,316,231,60,1827
1059,D. Sidibé,France,AS Monaco,RB CB,28,77,77,2016 ~ 2022,2016,2022,6,182,71,Right,9500000.0,45000.0,324,371,362,379,335,222,54,2047
1060,S. Rode,Germany,Eintracht Frankfurt,CDM CM,30,77,77,2019 ~ 2024,2019,2024,5,180,71,Right,9000000.0,26000.0,323,328,340,361,356,230,49,1987
1061,D. Vida,Croatia,Beşiktaş JK,CB,32,77,77,2018 ~ 2022,2018,2022,4,184,76,Right,7000000.0,39000.0,283,254,347,325,305,236,56,1806
1062,R. Barkley,United Kingdom of Great Britain and Northern Ireland,Chelsea,CAM CM,27,77,77,2018 ~ 2023,2018,2023,5,186,76,Right,11000000.0,87000.0,343,384,338,366,344,165,51,1991
1063,V. Aboubakar,Cameroon,Al Nassr,ST,29,77,77,2021 ~ 2024,2021,2024,3,184,82,Right,10500000.0,44000.0,363,375,356,384,336,86,42,1942
1064,M. Ryan,Australia,Real Sociedad,GK,29,77,79,2021 ~ 2023,2021,2023,2,184,82,Right,8500000.0,25000.0,103,117,279,257,162,47,389,1354
1065,J. Svensson,Norway,Adana Demirspor,RB,28,77,77,2021 ~ 2024,2021,2024,3,170,70,Right,9500000.0,19000.0,323,341,399,377,344,221,60,2065
1066,J. Guilavogui,France,FC Girondins de Bordeaux,CDM CM CB,30,77,77,"Jun 30, 2022 On Loan",0,0,0,188,77,Right,9000000.0,50000.0,308,301,313,373,339,236,61,1931
1067,F. Lejeune,France,Deportivo Alavés,CB,30,77,77,2021 ~ 2024,2021,2024,3,189,81,Right,8500000.0,23000.0,296,299,276,355,297,230,60,1813
1068,D. Boyata,Belgium,Hertha BSC,CB,30,77,77,2019 ~ 2024,2019,2024,5,188,84,Right,8500000.0,39000.0,260,220,327,320,249,238,53,1667
1069,J. Tavernier,United Kingdom of Great Britain and Northern Ireland,Rangers FC,RB,29,77,77,2015 ~ 2024,2015,2024,9,182,75,Right,9500000.0,50000.0,352,376,389,386,368,218,59,2148
1070,M. Faraoni,Italy,Hellas Verona,RWB RB RM,29,77,77,2019 ~ 2024,2019,2024,5,180,71,Right,9500000.0,27000.0,369,364,366,378,359,218,59,2113
1071,A. Mooy,Australia,Shanghai Port FC,CM CAM,30,77,77,2020 ~ 2023,2020,2023,3,175,68,Right,10000000.0,25000.0,341,375,348,380,367,213,54,2078
1072,A. Townsend,United Kingdom of Great Britain and Northern Ireland,Everton,RM,29,77,77,2021 ~ 2023,2021,2023,2,175,73,Left,10500000.0,74000.0,342,388,386,340,339,110,59,1964
1073,W. Khazri,Tunisia,AS Saint-Étienne,CF ST,30,77,77,2018 ~ 2022,2018,2022,4,176,82,Right,10500000.0,35000.0,360,379,366,331,367,107,41,1951
1074,C. Dawson,United Kingdom of Great Britain and Northern Ireland,West Ham United,CB,31,77,77,2021 ~ 2023,2021,2023,2,188,77,Right,7000000.0,56000.0,291,246,283,319,329,234,34,1736
1075,Hugo Mallo,Spain,RC Celta de Vigo,RB,30,77,77,2009 ~ 2023,2009,2023,14,173,69,Right,9000000.0,22000.0,272,295,349,336,287,223,54,1816
1076,G. Pezzella,Argentina,Real Betis Balompié,CB,30,77,77,2021 ~ 2025,2021,2025,4,186,81,Right,8500000.0,22000.0,272,253,258,317,261,236,54,1651
1077,R. Soriano,Italy,Bologna,CAM CM CF,30,77,77,2019 ~ 2023,2019,2023,4,182,76,Right,10000000.0,33000.0,368,371,368,364,356,198,61,2086
1078,X. Shaqiri,Switzerland,Chicago Fire Football Club,RM CAM,29,77,77,2022 ~ 2024,2022,2024,2,169,72,Left,10500000.0,10000.0,349,405,382,337,335,132,59,1999
1079,M. Braithwaite,Denmark,FC Barcelona,ST LW,30,77,77,2020 ~ 2024,2020,2024,4,177,73,Right,10500000.0,120000.0,363,370,386,380,325,91,53,1968
1080,C. Trimmel,Austria,1. FC Union Berlin,RWB RM RB,34,77,77,2014 ~ 2022,2014,2022,8,189,82,Right,3900000.0,29000.0,347,346,330,362,347,218,53,2003
1081,L. Cabrera,Uruguay,RCD Espanyol de Barcelona,CB LB,30,77,77,2020 ~ 2024,2020,2024,4,190,82,Left,8500000.0,19000.0,273,264,307,366,301,234,67,1812
1082,C. Wood,New Zealand,Newcastle United,ST,29,77,77,2022 ~ 2024,2022,2024,2,191,92,Right,10500000.0,45000.0,352,326,314,394,340,98,69,1893
1083,L. Rodríguez,Mexico,Tigres U.A.N.L.,RB RWB,30,77,77,2016 ~ 2022,2016,2022,6,177,76,Right,9000000.0,42000.0,328,351,385,375,347,214,41,2041
1084,J. Pastore,Argentina,Elche CF,CAM CM,32,77,77,2021 ~ 2022,2021,2022,1,187,78,Right,8500000.0,22000.0,351,382,339,286,348,147,51,1904
1085,P. Groß,Germany,Brighton & Hove Albion,CM RM CAM,30,77,77,2017 ~ 2022,2017,2022,5,181,78,Right,10000000.0,55000.0,355,394,318,378,350,175,65,2035
1086,Oier,Spain,CA Osasuna,CDM CM,35,77,77,2008 ~ 2022,2008,2022,14,178,72,Right,3000000.0,19000.0,307,325,325,362,354,226,34,1933
1087,De Marcos,Spain,Athletic Club de Bilbao,RB RM RW,32,77,77,2009 ~ 2022,2009,2022,13,182,78,Right,7500000.0,25000.0,334,350,388,364,348,214,51,2049
1088,Aridane,Spain,CA Osasuna,CB,32,77,77,2017 ~ 2023,2017,2023,6,186,77,Right,7000000.0,26000.0,258,254,300,351,267,228,55,1713
1089,M. Lanzini,Argentina,West Ham United,CAM CM,28,77,77,2016 ~ 2023,2016,2023,7,167,59,Right,10500000.0,64000.0,338,389,387,312,301,95,51,1873
1090,G. Bou,Argentina,New England Revolution,ST CF,31,77,77,2019 ~ 2023,2019,2023,4,178,80,Right,9000000.0,11000.0,357,353,376,408,314,77,50,1935
1091,A. Budimir,Croatia,CA Osasuna,ST,29,77,77,2021 ~ 2025,2021,2025,4,190,75,Left,10500000.0,32000.0,344,283,290,365,285,91,64,1722
1092,Rochina,Spain,Granada CF,RM CM LM,30,77,77,2021 ~ 2023,2021,2023,2,182,76,Left,10000000.0,24000.0,343,403,365,367,340,161,60,2039
1093,C. Kouyaté,Senegal,Crystal Palace,CDM CB CM,31,77,77,2018 ~ 2022,2018,2022,4,189,83,Right,7500000.0,48000.0,314,293,322,385,350,231,53,1948
1094,M. Balotelli,Italy,Adana Demirspor,ST,30,77,77,2021 ~ 2024,2021,2024,3,190,94,Right,10500000.0,22000.0,370,381,325,388,342,52,12,1870
1095,A. Ramsey,Wales,Rangers FC,CM CAM LM,30,77,77,"May 31, 2022 On Loan",0,0,0,183,76,Right,10000000.0,65000.0,345,388,337,333,359,200,40,2002
1096,G. Kakuta,Congo DR,Racing Club de Lens,CAM,30,77,77,2021 ~ 2023,2021,2023,2,173,72,Left,10000000.0,30000.0,359,391,390,359,329,97,53,1978
1097,Ö. Toprak,Turkey,SV Werder Bremen,CB,31,77,77,2020 ~ 2022,2020,2022,2,186,83,Right,7000000.0,13000.0,278,281,339,304,284,239,57,1782
1098,A. Kolarov,Serbia,Inter,LWB LB CB,35,77,77,2020 ~ 2022,2020,2022,2,187,81,Left,3200000.0,52000.0,368,401,316,390,378,229,61,2143
1099,Alan Kardec,Brazil,Shenzhen FC,ST RW LW,32,77,77,2021 ~ 2022,2021,2022,1,190,80,Right,8500000.0,15000.0,365,327,365,401,297,79,54,1888
1100,Víctor Díaz,Spain,Granada CF,RB CB LB,33,77,77,2017 ~ 2022,2017,2022,5,184,72,Right,5500000.0,22000.0,317,308,333,358,320,225,44,1905
1101,A. Modeste,France,1. FC Köln,ST,33,77,77,2019 ~ 2023,2019,2023,4,187,84,Right,6500000.0,31000.0,369,319,341,380,310,89,46,1854
1102,S. Jovetić,Montenegro,Hertha BSC,ST CAM,31,77,77,2021 ~ 2024,2021,2024,3,183,79,Right,9000000.0,47000.0,382,382,344,349,317,93,40,1907
1103,O. Kúdela,Czech Republic,SK Slavia Praha,CB,34,77,77,2018 ~ 2022,2018,2022,4,182,78,Right,3400000.0,1000.0,310,308,366,340,355,238,58,1975
1104,Guilherme,Russia,FC Lokomotiv Moscow,GK,35,77,77,2007 ~ 2022,2007,2022,15,198,96,Right,1200000.0,22000.0,89,101,225,238,136,48,379,1216
1105,A. Taarabt,Morocco,SL Benfica,CM CAM,32,77,77,2015 ~ 2023,2015,2023,8,180,76,Right,8500000.0,15000.0,327,397,374,330,369,197,24,2018
